epoch:0	acc:0.653172440638
epoch:1	acc:0.710393149085
epoch:2	acc:0.731802257688
epoch:3	acc:0.740755157649
epoch:4	acc:0.741533670689
epoch:5	acc:0.735694822888
epoch:6	acc:0.738808875049
epoch:7	acc:0.734137796808
epoch:8	acc:0.730245231608
epoch:9	acc:0.741922927209
epoch:10	acc:0.745815492409
epoch:11	acc:0.761775009731
epoch:12	acc:0.762553522772
epoch:13	acc:0.769170883612
epoch:14	acc:0.743090696769
epoch:15	acc:0.759828727131
epoch:16	acc:0.769949396652
epoch:17	acc:0.763332035812
epoch:18	acc:0.794083300895
epoch:19	acc:0.792137018295
epoch:20	acc:0.799143635656
epoch:21	acc:0.798754379136
epoch:22	acc:0.798754379136
epoch:23	acc:0.799532892176
epoch:24	acc:0.799922148696
epoch:25	acc:0.797975866096
epoch:26	acc:0.796418840016
epoch:27	acc:0.794861813935
epoch:28	acc:0.794861813935
epoch:29	acc:0.792137018295
epoch:30	acc:0.790969248735
epoch:31	acc:0.792137018295
epoch:32	acc:0.793304787855
epoch:33	acc:0.792526274815
epoch:34	acc:0.791358505255
epoch:35	acc:0.789022966135
epoch:36	acc:0.789022966135
epoch:37	acc:0.788244453095
epoch:38	acc:0.785519657454
epoch:39	acc:0.786298170494
epoch:40	acc:0.784351887894
epoch:41	acc:0.782405605294
epoch:42	acc:0.783962631374
epoch:43	acc:0.781237835734
epoch:44	acc:0.778513040093
epoch:45	acc:0.781237835734
epoch:46	acc:0.766056831452
epoch:47	acc:0.779680809654
epoch:48	acc:0.776956014013
epoch:49	acc:0.776177500973
epoch:50	acc:0.780459322694
epoch:51	acc:0.772674192293
epoch:52	acc:0.776956014013
epoch:53	acc:0.797197353056
epoch:54	acc:0.796418840016
epoch:55	acc:0.796029583496
epoch:56	acc:0.796418840016
epoch:57	acc:0.794083300895
epoch:58	acc:0.792915531335
epoch:59	acc:0.797586609576
epoch:60	acc:0.794861813935
epoch:61	acc:0.794861813935
epoch:62	acc:0.794083300895
epoch:63	acc:0.796029583496
epoch:64	acc:0.792137018295
epoch:65	acc:0.792915531335
epoch:66	acc:0.790969248735
epoch:67	acc:0.788633709615
epoch:68	acc:0.789412222655
epoch:69	acc:0.789801479175
epoch:70	acc:0.787855196575
epoch:71	acc:0.788244453095
epoch:72	acc:0.787465940054
epoch:73	acc:0.785908913974
epoch:74	acc:0.785130400934
epoch:75	acc:0.785130400934
epoch:76	acc:0.783962631374
epoch:77	acc:0.785908913974
epoch:78	acc:0.781237835734
epoch:79	acc:0.781627092254
epoch:80	acc:0.778513040093
epoch:81	acc:0.778902296613
epoch:82	acc:0.773452705333
epoch:83	acc:0.777734527053
epoch:84	acc:0.774231218373
epoch:85	acc:0.776177500973
epoch:86	acc:0.772284935773
